Titulo,Acervo[Nome],Acervo[Autor],Acervo[Data],Acervo[Origem],Acervo[Material],Acervo[Descricao],Acervo[Dimensoes],Acervo[Nucleo],Acervo[Classificacao],Acervo[imagem],Acervo[thumb],Acervo[categorias]
M-0011,[[Nossa Senhora Divina Pastora]],[[Escola Pernambucana]],[[Século XVIII]]/[[2a. Metade]],[[Brasil]]/[[Pernambuco]],"Madeira entalhada, policromada e dourada, metal, cristal transparente.",Sem descrição,"40,2 x 17,3 x 12,5 cm",[[Arte Brasileira - Século XVIII e XIX]],[[Classificação]]/[[Artes Visuais ]]/[[ Escultura Religiosa]],Imagem:M0011.jpg,[[Imagem:M0011.jpg|thumb|center|250px]],[[Categoria:Acervo por nº de tombo]][[Categoria:Autor/Escola Pernambucana]][[Categoria:Origem/Brasil/Pernambuco]][[Categoria:Data/Século XVIII/2a. Metade]][[Categoria:Núcleo/Arte Brasileira - Século XVIII e XIX]][[Categoria:Classificação/Artes Visuais / Escultura Religiosa]]
M-0012,[[São João evangelista]],[[Autor desconhecido]],[[Século XVIII]],[[Equador]],"Madeira entalhada e policromada, com douramento.",Sem descrição,"21,6 x 12,0 x 10,5 cm",[[Núcleo desconhecido]],[[Classificação]]/[[Artes Visuais ]]/[[ Escultura Religiosa]],Imagem:M0012.jpg,[[Imagem:M0012.jpg|thumb|center|250px]],[[Categoria:Acervo por nº de tombo]][[Categoria:Autor/Autor desconhecido]][[Categoria:Origem/Equador]][[Categoria:Data/Data desconhecida]][[Categoria:Núcleo/Núcleo desconhecido]][[Categoria:Classificação/Artes Visuais / Escultura Religiosa]]
M-0013,[[mesa lateral semi-circular]],[[Autor desconhecido]],[[Século XIX]],[[França]],"Madeira entalhada, policromada e envernizada, com marchetaria; sobre-tampo de vidro transparente.",Par (M-0015). Estilo Adam.,"108,8 x 40,5 x 83,5 cm ",[[Mobiliário Europeu]],[[Classificação]]/[[Interiores ]]/[[ Peças de Mobiliário]],Imagem:M0013.jpg,[[Imagem:M0013.jpg|thumb|center|250px]],[[Categoria:Acervo por nº de tombo]][[Categoria:Autor/Autor desconhecido]][[Categoria:Origem/França]][[Categoria:Data/Data desconhecida]][[Categoria:Núcleo/Mobiliário Europeu]][[Categoria:Classificação/Interiores / Peças de Mobiliário]]
M-0014,[[mesa de centro]],[[Autor desconhecido]],[[Século XIX]],[[China]],Madeira lacada; relevo em marfim; nácar.,Sem descrição,"86,5 x 54,0 x 31,3 cm",[[Arte Oriental]],[[Classificação]]/[[Interiores ]]/[[ Peças de Mobiliário]],Imagem:M0014.jpg,[[Imagem:M0014.jpg|thumb|center|250px]],[[Categoria:Acervo por nº de tombo]][[Categoria:Autor/Autor desconhecido]][[Categoria:Origem/China]][[Categoria:Data/Data desconhecida]][[Categoria:Núcleo/Arte Oriental]][[Categoria:Classificação/Interiores / Peças de Mobiliário]]
M-0015,[[mesa lateral semi-circular]],[[Autor desconhecido]],[[Século XIX]],[[França]],"Madeira entalhada, policromada e envernizada, com marchetaria; sobre-tampo de vidro transparente.",Par (M-0013). Estilo Adam.,"109,0 x 40,5 x 83,1 cm ",[[Mobiliário Europeu]],[[Classificação]]/[[Interiores ]]/[[ Peças de Mobiliário]],Imagem:M0015.jpg,[[Imagem:M0015.jpg|thumb|center|250px]],[[Categoria:Acervo por nº de tombo]][[Categoria:Autor/Autor desconhecido]][[Categoria:Origem/França]][[Categoria:Data/Data desconhecida]][[Categoria:Núcleo/Mobiliário Europeu]][[Categoria:Classificação/Interiores / Peças de Mobiliário]]
M-0016,[[Cadeira]],[[Autor desconhecido]],[[Século XIX]],[[França]],"Madeira entalhada e policromada, com verniz; assento em tecido bordado com fios de seda.",Par (M-0017).,"46,3 x 50,7 x 97,7 cm",[[Mobiliário Europeu]],[[Classificação]]/[[Interiores ]]/[[ Peças de Mobiliário]],Imagem:M0016.jpg,[[Imagem:M0016.jpg|thumb|center|250px]],[[Categoria:Acervo por nº de tombo]][[Categoria:Autor/Autor desconhecido]][[Categoria:Origem/França]][[Categoria:Data/Data desconhecida]][[Categoria:Núcleo/Mobiliário Europeu]][[Categoria:Classificação/Interiores / Peças de Mobiliário]]
M-0017,[[Cadeira]],[[Autor desconhecido]],[[Século XIX]],[[França]],Madeira entalhada e policromada; assento estofado em tecido bordado com fios de seda.,Par (M-0016).,"45,7 x 50,2 x 98,5 cm",[[Mobiliário Europeu]],[[Classificação]]/[[Interiores ]]/[[ Peças de Mobiliário]],Imagem:M0017.jpg,[[Imagem:M0017.jpg|thumb|center|250px]],[[Categoria:Acervo por nº de tombo]][[Categoria:Autor/Autor desconhecido]][[Categoria:Origem/França]][[Categoria:Data/Data desconhecida]][[Categoria:Núcleo/Mobiliário Europeu]][[Categoria:Classificação/Interiores / Peças de Mobiliário]]
M-0018,[[Mesa-secretária]],[[Maître Ébéniste Cramer]],[[Século XVIII]],[[França]],"Madeira limoeiro (citronnier) com marchetaria, metal dourado e couro gravado com tinta dourada.","Bureau plat de dame"". Época e estilo Luis XVI. Com duas gavetas e dois apoios laterais embutidos.","126,2 x 62,2 x 72,9 cm \ aberta: 222,0 x 62,2 x 72,9 cm ",[[Mobiliário Europeu]],[[Classificação]]/[[Interiores ]]/[[ Peças de Mobiliário]],Imagem:M0018.jpg,[[Imagem:M0018.jpg|thumb|center|250px]],[[Categoria:Acervo por nº de tombo]][[Categoria:Autor/Maître Ébéniste Cramer]][[Categoria:Origem/França]][[Categoria:Data/Data desconhecida]][[Categoria:Núcleo/Mobiliário Europeu]][[Categoria:Classificação/Interiores / Peças de Mobiliário]]
M-0019,[[a penitência de São Cristóvão]],[[Albrecht Dürer]],[[Século XV]]/[[c.1497]],[[Alemanha]],Gravura em metal,Sem descrição,"18,4 x 15,0 cm; c\ mold: 30,8 x 23,9 x 1,7 cm  ",[[Núcleo desconhecido]],[[Classificação]]/[[Artes Visuais ]]/[[ Gravura]],Imagem:M0019.jpg,[[Imagem:M0019.jpg|thumb|center|250px]],[[Categoria:Acervo por nº de tombo]][[Categoria:Autor/Albrecht Dürer]][[Categoria:Origem/Alemanha]][[Categoria:Data/Século XV/c.1497]][[Categoria:Núcleo/Núcleo desconhecido]][[Categoria:Classificação/Artes Visuais / Gravura]]
M-0020,[[Peitoral \ colar]],[[Autor desconhecido]],[[Data desconhecida]],[[Origem desconhecida]],Bronze (?),Corrente formada por pequenas cabeças.,"52,9  cm comprim.",[[Núcleo desconhecido]],[[Classificação]]/[[Objetos Pessoais ]]/[[ Objeto de Adorno]],Imagem:M0020.jpg,[[Imagem:M0020.jpg|thumb|center|250px]],[[Categoria:Acervo por nº de tombo]][[Categoria:Autor/Autor desconhecido]][[Categoria:Origem/Origem desconhecida]][[Categoria:Data/Data desconhecida]][[Categoria:Núcleo/Núcleo desconhecido]][[Categoria:Classificação/Objetos Pessoais / Objeto de Adorno]]
M-0021,[[Virgem com Menino (madonna da pÊra)]],"[[Jerome Wierix, cópia de Albrecht Dürer]]",[[Século XVI]],[[Holanda]],Água-forte sobre papel.,Sem descrição,"15,8 x 11,0 cm",[[Núcleo desconhecido]],[[Classificação]]/[[Artes Visuais ]]/[[ Gravura]],Imagem:M0021.jpg,[[Imagem:M0021.jpg|thumb|center|250px]],"[[Categoria:Acervo por nº de tombo]][[Categoria:Autor/Jerome Wierix, cópia de Albrecht Dürer]][[Categoria:Origem/Holanda]][[Categoria:Data/Data desconhecida]][[Categoria:Núcleo/Núcleo desconhecido]][[Categoria:Classificação/Artes Visuais / Gravura]]"
M-0022,[[Lieven Van Coppenol]],[[Rembrandt van Rijn]],[[Século XVII]]/[[1658(?)]],[[Holanda]],Água-forte.,Sem descrição,"20,4 x 17,6 cm",[[Núcleo desconhecido]],[[Classificação]]/[[Artes Visuais ]]/[[ Gravura]],Imagem:M0022.jpg,[[Imagem:M0022.jpg|thumb|center|250px]],[[Categoria:Acervo por nº de tombo]][[Categoria:Autor/Rembrandt van Rijn]][[Categoria:Origem/Holanda]][[Categoria:Data/Século XVII/1658(?)]][[Categoria:Núcleo/Núcleo desconhecido]][[Categoria:Classificação/Artes Visuais / Gravura]]
M-0023,[[nu masculino sentado]],[[Rembrandt van Rijn]],[[Século XVII]]/[[1646]],[[Holanda]],Água-forte.,Sem descrição,"9,7 x 16,7 cm",[[Núcleo desconhecido]],[[Classificação]]/[[Artes Visuais ]]/[[ Gravura]],Imagem:M0023.jpg,[[Imagem:M0023.jpg|thumb|center|250px]],[[Categoria:Acervo por nº de tombo]][[Categoria:Autor/Rembrandt van Rijn]][[Categoria:Origem/Holanda]][[Categoria:Data/Século XVII/1646]][[Categoria:Núcleo/Núcleo desconhecido]][[Categoria:Classificação/Artes Visuais / Gravura]]
M-0024,[[Cristo e as mulheres de Samara]],[[Rembrandt van Rijn]],[[Século XVII]]/[[1658]],[[Holanda]],Água-forte.,Sem descrição,"15,0 x 18,4 cm",[[Núcleo desconhecido]],[[Classificação]]/[[Artes Visuais ]]/[[ Gravura]],Imagem:M0024.jpg,[[Imagem:M0024.jpg|thumb|center|250px]],[[Categoria:Acervo por nº de tombo]][[Categoria:Autor/Rembrandt van Rijn]][[Categoria:Origem/Holanda]][[Categoria:Data/Século XVII/1658]][[Categoria:Núcleo/Núcleo desconhecido]][[Categoria:Classificação/Artes Visuais / Gravura]]
M-0025,[[negra deitada]],[[Rembrandt van Rijn]],[[Século XVII]]/[[1658]],[[Holanda]],Água-forte.,Sem descrição,"8,7 x 16,2 cm ",[[Núcleo desconhecido]],[[Classificação]]/[[Artes Visuais ]]/[[ Gravura]],Imagem:M0025.jpg,[[Imagem:M0025.jpg|thumb|center|250px]],[[Categoria:Acervo por nº de tombo]][[Categoria:Autor/Rembrandt van Rijn]][[Categoria:Origem/Holanda]][[Categoria:Data/Século XVII/1658]][[Categoria:Núcleo/Núcleo desconhecido]][[Categoria:Classificação/Artes Visuais / Gravura]]
M-0026,[[palma de parede]],[[Autor desconhecido]],[[Século XX(?)]],[[Itália]],Madeira entalhada com douramento.,Par (M-0027).,"102,8 x 35,0 x 6,3 cm",[[Núcleo desconhecido]],[[Classificação]]/[[Interiores ]]/[[ Acessórios de Interiores]],Imagem:M0026.jpg,[[Imagem:M0026.jpg|thumb|center|250px]],[[Categoria:Acervo por nº de tombo]][[Categoria:Autor/Autor desconhecido]][[Categoria:Origem/Itália]][[Categoria:Data/Data desconhecida]][[Categoria:Núcleo/Núcleo desconhecido]][[Categoria:Classificação/Interiores / Acessórios de Interiores]]
M-0027,[[Palma de parede]],[[Autor desconhecido]],[[Século XX(?)]],[[Itália]],Madeira entalhada com douramento.,Par (M-0026).,"102,4 x 35,0 x 6,3 cm",[[Núcleo desconhecido]],[[Classificação]]/[[Interiores ]]/[[ Acessórios de Interiores]],Imagem:M0027.jpg,[[Imagem:M0027.jpg|thumb|center|250px]],[[Categoria:Acervo por nº de tombo]][[Categoria:Autor/Autor desconhecido]][[Categoria:Origem/Itália]][[Categoria:Data/Data desconhecida]][[Categoria:Núcleo/Núcleo desconhecido]][[Categoria:Classificação/Interiores / Acessórios de Interiores]]
M-0028,[[instrumentos para lareira]],[[Autor desconhecido]],[[Século XIX]],[[França]],Bronze.,"4 peças: suporte, pá, atiçador e tenaz.","65,5 x 27,6 x 23,4 cm (suporte)",[[Núcleo desconhecido]],[[Classificação]]/[[Interiores ]]/[[ Condicionadores de Temperatura]],Imagem:M0028.jpg,[[Imagem:M0028.jpg|thumb|center|250px]],[[Categoria:Acervo por nº de tombo]][[Categoria:Autor/Autor desconhecido]][[Categoria:Origem/França]][[Categoria:Data/Data desconhecida]][[Categoria:Núcleo/Núcleo desconhecido]][[Categoria:Classificação/Interiores / Condicionadores de Temperatura]]
M-0029,[[Suporte para lenha - chenet]],[[Autor desconhecido]],[[Século XX]],[[França]],Bronze.,Par M-0030. Estilo Luis XVI.,Dimensões desconhecidas,[[Núcleo desconhecido]],[[Classificação]]/[[Interiores ]]/[[ Condicionadores de Temperatura]],Imagem:M0029.jpg,[[Imagem:M0029.jpg|thumb|center|250px]],[[Categoria:Acervo por nº de tombo]][[Categoria:Autor/Autor desconhecido]][[Categoria:Origem/França]][[Categoria:Data/Data desconhecida]][[Categoria:Núcleo/Núcleo desconhecido]][[Categoria:Classificação/Interiores / Condicionadores de Temperatura]]
M-0030,[[Suporte para lenha - chenet]],[[Autor desconhecido]],[[Século XX]],[[França]],Bronze.,Par M-0029. Estilo Luis XVI.,Dimensões desconhecidas,[[Núcleo desconhecido]],[[Classificação]]/[[Interiores ]]/[[ Condicionadores de Temperatura]],Imagem:M0030.jpg,[[Imagem:M0030.jpg|thumb|center|250px]],[[Categoria:Acervo por nº de tombo]][[Categoria:Autor/Autor desconhecido]][[Categoria:Origem/França]][[Categoria:Data/Data desconhecida]][[Categoria:Núcleo/Núcleo desconhecido]][[Categoria:Classificação/Interiores / Condicionadores de Temperatura]]
M-0031,[[sofá]],[[Autor desconhecido]],[[Século XX]],[[Brasil]],"Madeira, tecido, plumas",Três lugares.,Dimensões desconhecidas,[[Mobiliário Brasileiro]],[[Classificação]]/[[Interiores ]]/[[ Peças de Mobiliário]],Imagem:M0031.jpg,[[Imagem:M0031.jpg|thumb|center|250px]],[[Categoria:Acervo por nº de tombo]][[Categoria:Autor/Autor desconhecido]][[Categoria:Origem/Brasil]][[Categoria:Data/Data desconhecida]][[Categoria:Núcleo/Mobiliário Brasileiro]][[Categoria:Classificação/Interiores / Peças de Mobiliário]]
M-0032,[[Poltrona]],[[Autor desconhecido]],[[Século XIX]],[[França]],Madeira entalhada e envernizada; tecido de veludo.,Par (M-0033).,"67,0 x 75,2 x 87,6 cm",[[Mobiliário Europeu]],[[Classificação]]/[[Interiores ]]/[[ Peças de Mobiliário]],Imagem:M0032.jpg,[[Imagem:M0032.jpg|thumb|center|250px]],[[Categoria:Acervo por nº de tombo]][[Categoria:Autor/Autor desconhecido]][[Categoria:Origem/França]][[Categoria:Data/Data desconhecida]][[Categoria:Núcleo/Mobiliário Europeu]][[Categoria:Classificação/Interiores / Peças de Mobiliário]]
M-0033,[[poltrona]],[[Autor desconhecido]],[[Século XIX]],[[França]],Madeira entalhada e envernizada; tecido de veludo,Par (M-0032).,"68,7 x 79,4 x 86,0 cm",[[Mobiliário Europeu]],[[Classificação]]/[[Interiores ]]/[[ Peças de Mobiliário]],Imagem:M0033.jpg,[[Imagem:M0033.jpg|thumb|center|250px]],[[Categoria:Acervo por nº de tombo]][[Categoria:Autor/Autor desconhecido]][[Categoria:Origem/França]][[Categoria:Data/Data desconhecida]][[Categoria:Núcleo/Mobiliário Europeu]][[Categoria:Classificação/Interiores / Peças de Mobiliário]]
M-0034,[[Virgem com Menino]],[[Autor desconhecido]],[[Século XVIII]]/[[1a. metade]],[[França ou Holanda]],Terracota,Estudo (bozzetto) para um monumento.,"27,0 x 12,2 x 9,4 cm",[[Núcleo desconhecido]],[[Classificação]]/[[Artes Visuais ]]/[[ Escultura Religiosa]],Imagem:M0034.jpg,[[Imagem:M0034.jpg|thumb|center|250px]],[[Categoria:Acervo por nº de tombo]][[Categoria:Autor/Autor desconhecido]][[Categoria:Origem/França ou Holanda]][[Categoria:Data/Século XVIII/1a. metade]][[Categoria:Núcleo/Núcleo desconhecido]][[Categoria:Classificação/Artes Visuais / Escultura Religiosa]]
M-0035,[[São jerônimo]],[[Autor desconhecido]],[[Século XVIII]],[[Itália]],Terracota policromada e dourada.,Sem descrição,"27,7 x 15,5 x 9,0 cm",[[Núcleo desconhecido]],[[Classificação]]/[[Artes Visuais ]]/[[ Escultura Religiosa]],Imagem:M0035.jpg,[[Imagem:M0035.jpg|thumb|center|250px]],[[Categoria:Acervo por nº de tombo]][[Categoria:Autor/Autor desconhecido]][[Categoria:Origem/Itália]][[Categoria:Data/Data desconhecida]][[Categoria:Núcleo/Núcleo desconhecido]][[Categoria:Classificação/Artes Visuais / Escultura Religiosa]]
M-0036,[[Anjo em adoração]],[[Autor desconhecido]],[[Século XVIII(?)]],[[Brasil]],Madeira policromada,Par (M-0037). Peça incompleta: faltam as asas da figura.,"22,8 x 11,0 x 15,0 cm",[[Arte Brasileira - Século XVIII e XIX]],[[Classificação]]/[[Artes Visuais ]]/[[ Escultura Religiosa]],Imagem:M0036.jpg,[[Imagem:M0036.jpg|thumb|center|250px]],[[Categoria:Acervo por nº de tombo]][[Categoria:Autor/Autor desconhecido]][[Categoria:Origem/Brasil]][[Categoria:Data/Data desconhecida]][[Categoria:Núcleo/Arte Brasileira - Século XVIII e XIX]][[Categoria:Classificação/Artes Visuais / Escultura Religiosa]]
M-0037,[[Anjo em adoração]],[[Autor desconhecido]],[[Século XVIII(?)]],[[Brasil]],Madeira policromada.,Par (M-0036). Peça incompleta: faltam as asas da figura.,"22,8 x 11,0 x 15,0 cm",[[Arte Brasileira - Século XVIII e XIX]],[[Classificação]]/[[Artes Visuais ]]/[[ Escultura Religiosa]],Imagem:M0037.jpg,[[Imagem:M0037.jpg|thumb|center|250px]],[[Categoria:Acervo por nº de tombo]][[Categoria:Autor/Autor desconhecido]][[Categoria:Origem/Brasil]][[Categoria:Data/Data desconhecida]][[Categoria:Núcleo/Arte Brasileira - Século XVIII e XIX]][[Categoria:Classificação/Artes Visuais / Escultura Religiosa]]
M-0038,[[Nossa Senhora da Conceição]],[[Autor desconhecido]],[[Século XVIII(?)]],[[Brasil]],Madeira policromada,Sem descrição,Dimensões desconhecidas,[[Arte Brasileira - Século XVIII e XIX]],[[Classificação]]/[[Artes Visuais ]]/[[ Escultura Religiosa]],Imagem:M0038.jpg,[[Imagem:M0038.jpg|thumb|center|250px]],[[Categoria:Acervo por nº de tombo]][[Categoria:Autor/Autor desconhecido]][[Categoria:Origem/Brasil]][[Categoria:Data/Data desconhecida]][[Categoria:Núcleo/Arte Brasileira - Século XVIII e XIX]][[Categoria:Classificação/Artes Visuais / Escultura Religiosa]]
M-0039,[[Nossa Senhora da Conceição]],[[Autor desconhecido]],[[Século XVIII(?)]],[[Brasil]],Terracota policromada.,Sem descrição,"19,5 x 8,3 x 6,2 cm",[[Arte Brasileira - Século XVIII e XIX]],[[Classificação]]/[[Artes Visuais ]]/[[ Escultura Religiosa]],Imagem:M0039.jpg,[[Imagem:M0039.jpg|thumb|center|250px]],[[Categoria:Acervo por nº de tombo]][[Categoria:Autor/Autor desconhecido]][[Categoria:Origem/Brasil]][[Categoria:Data/Data desconhecida]][[Categoria:Núcleo/Arte Brasileira - Século XVIII e XIX]][[Categoria:Classificação/Artes Visuais / Escultura Religiosa]]
M-0040,[[Anjo (?)]],[[Autor desconhecido]],[[Século XIX]],[[Brasil]],Madeira entalhada e policromada.,Com cálice na mão.,"15,0 x 5,3 x 6,3 cm",[[Arte Brasileira - Século XVIII e XIX]],[[Classificação]]/[[Artes Visuais ]]/[[ Escultura Religiosa]],Imagem:M0040.jpg,[[Imagem:M0040.jpg|thumb|center|250px]],[[Categoria:Acervo por nº de tombo]][[Categoria:Autor/Autor desconhecido]][[Categoria:Origem/Brasil]][[Categoria:Data/Data desconhecida]][[Categoria:Núcleo/Arte Brasileira - Século XVIII e XIX]][[Categoria:Classificação/Artes Visuais / Escultura Religiosa]]
M-0041,[[anjo custódio]],[[Autor desconhecido]],[[Século XVIII(?)]],[[Brasil]],Terracota e baixo-relevo policromado.,Em forma de placa.,"23,3 x 19,0 x 4,4 cm",[[Arte Brasileira - Século XVIII e XIX]],[[Classificação]]/[[Artes Visuais ]]/[[ Escultura Religiosa]],Imagem:M0041.jpg,[[Imagem:M0041.jpg|thumb|center|250px]],[[Categoria:Acervo por nº de tombo]][[Categoria:Autor/Autor desconhecido]][[Categoria:Origem/Brasil]][[Categoria:Data/Data desconhecida]][[Categoria:Núcleo/Arte Brasileira - Século XVIII e XIX]][[Categoria:Classificação/Artes Visuais / Escultura Religiosa]]
M-0042,[[Virgem com Menino]],[[Autor desconhecido]],[[Século XIX(?)]],[[França(?)]],Marfim policromado,Sem descrição,"14,8 x 6,3 x 4,9 cm",[[Núcleo desconhecido]],[[Classificação]]/[[Artes Visuais ]]/[[ Escultura Religiosa]],Imagem:M0042.jpg,[[Imagem:M0042.jpg|thumb|center|250px]],[[Categoria:Acervo por nº de tombo]][[Categoria:Autor/Autor desconhecido]][[Categoria:Origem/França(?)]][[Categoria:Data/Data desconhecida]][[Categoria:Núcleo/Núcleo desconhecido]][[Categoria:Classificação/Artes Visuais / Escultura Religiosa]]
M-0043,[[Nossa Senhora das Dores]],[[Autor desconhecido]],[[Século XVIII]]/[[1a. metade]],[[Brasil]]/[[Bahia]],Marfim policromado.,Sem descrição,"19,6 x 6,0 x 3,5 cm . Com pedestal: 22,8 h.",[[Arte Brasileira - Século XVIII e XIX]],[[Classificação]]/[[Artes Visuais ]]/[[ Escultura Religiosa]],Imagem:M0043.jpg,[[Imagem:M0043.jpg|thumb|center|250px]],[[Categoria:Acervo por nº de tombo]][[Categoria:Autor/Autor desconhecido]][[Categoria:Origem/Brasil/Bahia]][[Categoria:Data/Século XVIII/1a. metade]][[Categoria:Núcleo/Arte Brasileira - Século XVIII e XIX]][[Categoria:Classificação/Artes Visuais / Escultura Religiosa]]
