Titulo,Acervo[Nome],Acervo[Autor],Acervo[Data],Acervo[Origem],Acervo[Material],Acervo[Descricao],Acervo[Dimensoes],Acervo[Nucleo],Acervo[Classificacao],Acervo[imagem],Acervo[thumb],Acervo[categorias]
M-0011,[[Título::Nossa Senhora Divina Pastora]],[[Autoria de::Escola Pernambucana]],[[Datação::Século XVIII]]/[[SubDatação::2a. Metade]],[[Origem::Brasil]]/[[SubOrigem::Pernambuco]],"[[Material::Madeira entalhada, policromada e dourada, metal, cristal transparente.]]",[[Descrição::Sem descrição]],"[[Dimensões::40,2 x 17,3 x 12,5 cm]]",[[Núcleo::Arte Brasileira - Século XVIII e XIX]],[[Classificação]]/[[Classificação::Artes Visuais ]]/[[SubClassificação:: Escultura Religiosa]],Imagem:M0011.jpg,[[Imagem:M0011.jpg|thumb|center|250px]],[[Categoria:Acervo por nº de tombo]][[Categoria:Autor/Escola Pernambucana]][[Categoria:Origem/Brasil/Pernambuco]][[Categoria:Data/Século XVIII/2a. Metade]][[Categoria:Núcleo/Arte Brasileira - Século XVIII e XIX]][[Categoria:Classificação/Artes Visuais/Escultura Religiosa]]
M-0012,[[Título::São João evangelista]],[[Autoria de::Autor desconhecido]],[[Datação::Século XVIII]],[[Origem::Equador]],"[[Material::Madeira entalhada e policromada, com douramento.]]",[[Descrição::Sem descrição]],"[[Dimensões::21,6 x 12,0 x 10,5 cm]]",[[Núcleo::Núcleo desconhecido]],[[Classificação]]/[[Classificação::Artes Visuais ]]/[[SubClassificação:: Escultura Religiosa]],Imagem:M0012.jpg,[[Imagem:M0012.jpg|thumb|center|250px]],[[Categoria:Acervo por nº de tombo]][[Categoria:Autor/Autor desconhecido]][[Categoria:Origem/Equador]][[Categoria:Data/Data desconhecida]][[Categoria:Núcleo/Núcleo desconhecido]][[Categoria:Classificação/Artes Visuais/Escultura Religiosa]]
M-0013,[[Título::mesa lateral semi-circular]],[[Autoria de::Autor desconhecido]],[[Datação::Século XIX]],[[Origem::França]],"[[Material::Madeira entalhada, policromada e envernizada, com marchetaria; sobre-tampo de vidro transparente.]]",[[Descrição::Par (M-0015). Estilo Adam.]],"[[Dimensões::108,8 x 40,5 x 83,5 cm ]]",[[Núcleo::Mobiliário Europeu]],[[Classificação]]/[[Classificação::Interiores ]]/[[SubClassificação:: Peças de Mobiliário]],Imagem:M0013.jpg,[[Imagem:M0013.jpg|thumb|center|250px]],[[Categoria:Acervo por nº de tombo]][[Categoria:Autor/Autor desconhecido]][[Categoria:Origem/França]][[Categoria:Data/Data desconhecida]][[Categoria:Núcleo/Mobiliário Europeu]][[Categoria:Classificação/Interiores/Peças de Mobiliário]]
M-0014,[[Título::mesa de centro]],[[Autoria de::Autor desconhecido]],[[Datação::Século XIX]],[[Origem::China]],[[Material::Madeira lacada; relevo em marfim; nácar.]],[[Descrição::Sem descrição]],"[[Dimensões::86,5 x 54,0 x 31,3 cm]]",[[Núcleo::Arte Oriental]],[[Classificação]]/[[Classificação::Interiores ]]/[[SubClassificação:: Peças de Mobiliário]],Imagem:M0014.jpg,[[Imagem:M0014.jpg|thumb|center|250px]],[[Categoria:Acervo por nº de tombo]][[Categoria:Autor/Autor desconhecido]][[Categoria:Origem/China]][[Categoria:Data/Data desconhecida]][[Categoria:Núcleo/Arte Oriental]][[Categoria:Classificação/Interiores/Peças de Mobiliário]]
M-0015,[[Título::mesa lateral semi-circular]],[[Autoria de::Autor desconhecido]],[[Datação::Século XIX]],[[Origem::França]],"[[Material::Madeira entalhada, policromada e envernizada, com marchetaria; sobre-tampo de vidro transparente.]]",[[Descrição::Par (M-0013). Estilo Adam.]],"[[Dimensões::109,0 x 40,5 x 83,1 cm ]]",[[Núcleo::Mobiliário Europeu]],[[Classificação]]/[[Classificação::Interiores ]]/[[SubClassificação:: Peças de Mobiliário]],Imagem:M0015.jpg,[[Imagem:M0015.jpg|thumb|center|250px]],[[Categoria:Acervo por nº de tombo]][[Categoria:Autor/Autor desconhecido]][[Categoria:Origem/França]][[Categoria:Data/Data desconhecida]][[Categoria:Núcleo/Mobiliário Europeu]][[Categoria:Classificação/Interiores/Peças de Mobiliário]]
M-0016,[[Título::Cadeira]],[[Autoria de::Autor desconhecido]],[[Datação::Século XIX]],[[Origem::França]],"[[Material::Madeira entalhada e policromada, com verniz; assento em tecido bordado com fios de seda.]]",[[Descrição::Par (M-0017).]],"[[Dimensões::46,3 x 50,7 x 97,7 cm]]",[[Núcleo::Mobiliário Europeu]],[[Classificação]]/[[Classificação::Interiores ]]/[[SubClassificação:: Peças de Mobiliário]],Imagem:M0016.jpg,[[Imagem:M0016.jpg|thumb|center|250px]],[[Categoria:Acervo por nº de tombo]][[Categoria:Autor/Autor desconhecido]][[Categoria:Origem/França]][[Categoria:Data/Data desconhecida]][[Categoria:Núcleo/Mobiliário Europeu]][[Categoria:Classificação/Interiores/Peças de Mobiliário]]
M-0017,[[Título::Cadeira]],[[Autoria de::Autor desconhecido]],[[Datação::Século XIX]],[[Origem::França]],[[Material::Madeira entalhada e policromada; assento estofado em tecido bordado com fios de seda.]],[[Descrição::Par (M-0016).]],"[[Dimensões::45,7 x 50,2 x 98,5 cm]]",[[Núcleo::Mobiliário Europeu]],[[Classificação]]/[[Classificação::Interiores ]]/[[SubClassificação:: Peças de Mobiliário]],Imagem:M0017.jpg,[[Imagem:M0017.jpg|thumb|center|250px]],[[Categoria:Acervo por nº de tombo]][[Categoria:Autor/Autor desconhecido]][[Categoria:Origem/França]][[Categoria:Data/Data desconhecida]][[Categoria:Núcleo/Mobiliário Europeu]][[Categoria:Classificação/Interiores/Peças de Mobiliário]]
M-0018,[[Título::Mesa-secretária]],[[Autoria de::Maître Ébéniste Cramer]],[[Datação::Século XVIII]],[[Origem::França]],"[[Material::Madeira limoeiro (citronnier) com marchetaria, metal dourado e couro gravado com tinta dourada.]]","[[Descrição::Bureau plat de dame"". Época e estilo Luis XVI. Com duas gavetas e dois apoios laterais embutidos.]]","[[Dimensões::126,2 x 62,2 x 72,9 cm \ aberta: 222,0 x 62,2 x 72,9 cm ]]",[[Núcleo::Mobiliário Europeu]],[[Classificação]]/[[Classificação::Interiores ]]/[[SubClassificação:: Peças de Mobiliário]],Imagem:M0018.jpg,[[Imagem:M0018.jpg|thumb|center|250px]],[[Categoria:Acervo por nº de tombo]][[Categoria:Autor/Maître Ébéniste Cramer]][[Categoria:Origem/França]][[Categoria:Data/Data desconhecida]][[Categoria:Núcleo/Mobiliário Europeu]][[Categoria:Classificação/Interiores/Peças de Mobiliário]]
M-0019,[[Título::a penitência de São Cristóvão]],[[Autoria de::Albrecht Dürer]],[[Datação::Século XV]]/[[SubDatação::c.1497]],[[Origem::Alemanha]],[[Material::Gravura em metal]],[[Descrição::Sem descrição]],"[[Dimensões::18,4 x 15,0 cm; c\ mold: 30,8 x 23,9 x 1,7 cm  ]]",[[Núcleo::Núcleo desconhecido]],[[Classificação]]/[[Classificação::Artes Visuais ]]/[[SubClassificação:: Gravura]],Imagem:M0019.jpg,[[Imagem:M0019.jpg|thumb|center|250px]],[[Categoria:Acervo por nº de tombo]][[Categoria:Autor/Albrecht Dürer]][[Categoria:Origem/Alemanha]][[Categoria:Data/Século XV/c.1497]][[Categoria:Núcleo/Núcleo desconhecido]][[Categoria:Classificação/Artes Visuais/Gravura]]
M-0020,[[Título::Peitoral \ colar]],[[Autoria de::Autor desconhecido]],[[Datação::Data desconhecida]],[[Origem::Origem desconhecida]],[[Material::Bronze (?)]],[[Descrição::Corrente formada por pequenas cabeças.]],"[[Dimensões::52,9  cm comprim.]]",[[Núcleo::Núcleo desconhecido]],[[Classificação]]/[[Classificação::Objetos Pessoais ]]/[[SubClassificação:: Objeto de Adorno]],Imagem:M0020.jpg,[[Imagem:M0020.jpg|thumb|center|250px]],[[Categoria:Acervo por nº de tombo]][[Categoria:Autor/Autor desconhecido]][[Categoria:Origem/Origem desconhecida]][[Categoria:Data/Data desconhecida]][[Categoria:Núcleo/Núcleo desconhecido]][[Categoria:Classificação/Objetos Pessoais/Objeto de Adorno]]
M-0021,[[Título::Virgem com Menino (madonna da pÊra)]],"[[Autoria de::Jerome Wierix, cópia de Albrecht Dürer]]",[[Datação::Século XVI]],[[Origem::Holanda]],[[Material::Água-forte sobre papel.]],[[Descrição::Sem descrição]],"[[Dimensões::15,8 x 11,0 cm]]",[[Núcleo::Núcleo desconhecido]],[[Classificação]]/[[Classificação::Artes Visuais ]]/[[SubClassificação:: Gravura]],Imagem:M0021.jpg,[[Imagem:M0021.jpg|thumb|center|250px]],"[[Categoria:Acervo por nº de tombo]][[Categoria:Autor/Jerome Wierix, cópia de Albrecht Dürer]][[Categoria:Origem/Holanda]][[Categoria:Data/Data desconhecida]][[Categoria:Núcleo/Núcleo desconhecido]][[Categoria:Classificação/Artes Visuais/Gravura]]"
M-0022,[[Título::Lieven Van Coppenol]],[[Autoria de::Rembrandt van Rijn]],[[Datação::Século XVII]]/[[SubDatação::1658(?)]],[[Origem::Holanda]],[[Material::Água-forte.]],[[Descrição::Sem descrição]],"[[Dimensões::20,4 x 17,6 cm]]",[[Núcleo::Núcleo desconhecido]],[[Classificação]]/[[Classificação::Artes Visuais ]]/[[SubClassificação:: Gravura]],Imagem:M0022.jpg,[[Imagem:M0022.jpg|thumb|center|250px]],[[Categoria:Acervo por nº de tombo]][[Categoria:Autor/Rembrandt van Rijn]][[Categoria:Origem/Holanda]][[Categoria:Data/Século XVII/1658(?)]][[Categoria:Núcleo/Núcleo desconhecido]][[Categoria:Classificação/Artes Visuais/Gravura]]
M-0023,[[Título::nu masculino sentado]],[[Autoria de::Rembrandt van Rijn]],[[Datação::Século XVII]]/[[SubDatação::1646]],[[Origem::Holanda]],[[Material::Água-forte.]],[[Descrição::Sem descrição]],"[[Dimensões::9,7 x 16,7 cm]]",[[Núcleo::Núcleo desconhecido]],[[Classificação]]/[[Classificação::Artes Visuais ]]/[[SubClassificação:: Gravura]],Imagem:M0023.jpg,[[Imagem:M0023.jpg|thumb|center|250px]],[[Categoria:Acervo por nº de tombo]][[Categoria:Autor/Rembrandt van Rijn]][[Categoria:Origem/Holanda]][[Categoria:Data/Século XVII/1646]][[Categoria:Núcleo/Núcleo desconhecido]][[Categoria:Classificação/Artes Visuais/Gravura]]
M-0024,[[Título::Cristo e as mulheres de Samara]],[[Autoria de::Rembrandt van Rijn]],[[Datação::Século XVII]]/[[SubDatação::1658]],[[Origem::Holanda]],[[Material::Água-forte.]],[[Descrição::Sem descrição]],"[[Dimensões::15,0 x 18,4 cm]]",[[Núcleo::Núcleo desconhecido]],[[Classificação]]/[[Classificação::Artes Visuais ]]/[[SubClassificação:: Gravura]],Imagem:M0024.jpg,[[Imagem:M0024.jpg|thumb|center|250px]],[[Categoria:Acervo por nº de tombo]][[Categoria:Autor/Rembrandt van Rijn]][[Categoria:Origem/Holanda]][[Categoria:Data/Século XVII/1658]][[Categoria:Núcleo/Núcleo desconhecido]][[Categoria:Classificação/Artes Visuais/Gravura]]
M-0025,[[Título::negra deitada]],[[Autoria de::Rembrandt van Rijn]],[[Datação::Século XVII]]/[[SubDatação::1658]],[[Origem::Holanda]],[[Material::Água-forte.]],[[Descrição::Sem descrição]],"[[Dimensões::8,7 x 16,2 cm ]]",[[Núcleo::Núcleo desconhecido]],[[Classificação]]/[[Classificação::Artes Visuais ]]/[[SubClassificação:: Gravura]],Imagem:M0025.jpg,[[Imagem:M0025.jpg|thumb|center|250px]],[[Categoria:Acervo por nº de tombo]][[Categoria:Autor/Rembrandt van Rijn]][[Categoria:Origem/Holanda]][[Categoria:Data/Século XVII/1658]][[Categoria:Núcleo/Núcleo desconhecido]][[Categoria:Classificação/Artes Visuais/Gravura]]
M-0026,[[Título::palma de parede]],[[Autoria de::Autor desconhecido]],[[Datação::Século XX(?)]],[[Origem::Itália]],[[Material::Madeira entalhada com douramento.]],[[Descrição::Par (M-0027).]],"[[Dimensões::102,8 x 35,0 x 6,3 cm]]",[[Núcleo::Núcleo desconhecido]],[[Classificação]]/[[Classificação::Interiores ]]/[[SubClassificação:: Acessórios de Interiores]],Imagem:M0026.jpg,[[Imagem:M0026.jpg|thumb|center|250px]],[[Categoria:Acervo por nº de tombo]][[Categoria:Autor/Autor desconhecido]][[Categoria:Origem/Itália]][[Categoria:Data/Data desconhecida]][[Categoria:Núcleo/Núcleo desconhecido]][[Categoria:Classificação/Interiores/Acessórios de Interiores]]
M-0027,[[Título::Palma de parede]],[[Autoria de::Autor desconhecido]],[[Datação::Século XX(?)]],[[Origem::Itália]],[[Material::Madeira entalhada com douramento.]],[[Descrição::Par (M-0026).]],"[[Dimensões::102,4 x 35,0 x 6,3 cm]]",[[Núcleo::Núcleo desconhecido]],[[Classificação]]/[[Classificação::Interiores ]]/[[SubClassificação:: Acessórios de Interiores]],Imagem:M0027.jpg,[[Imagem:M0027.jpg|thumb|center|250px]],[[Categoria:Acervo por nº de tombo]][[Categoria:Autor/Autor desconhecido]][[Categoria:Origem/Itália]][[Categoria:Data/Data desconhecida]][[Categoria:Núcleo/Núcleo desconhecido]][[Categoria:Classificação/Interiores/Acessórios de Interiores]]
M-0028,[[Título::instrumentos para lareira]],[[Autoria de::Autor desconhecido]],[[Datação::Século XIX]],[[Origem::França]],[[Material::Bronze.]],"[[Descrição::4 peças: suporte, pá, atiçador e tenaz.]]","[[Dimensões::65,5 x 27,6 x 23,4 cm (suporte)]]",[[Núcleo::Núcleo desconhecido]],[[Classificação]]/[[Classificação::Interiores ]]/[[SubClassificação:: Condicionadores de Temperatura]],Imagem:M0028.jpg,[[Imagem:M0028.jpg|thumb|center|250px]],[[Categoria:Acervo por nº de tombo]][[Categoria:Autor/Autor desconhecido]][[Categoria:Origem/França]][[Categoria:Data/Data desconhecida]][[Categoria:Núcleo/Núcleo desconhecido]][[Categoria:Classificação/Interiores/Condicionadores de Temperatura]]
M-0029,[[Título::Suporte para lenha - chenet]],[[Autoria de::Autor desconhecido]],[[Datação::Século XX]],[[Origem::França]],[[Material::Bronze.]],[[Descrição::Par M-0030. Estilo Luis XVI.]],[[Dimensões::Dimensões desconhecidas]],[[Núcleo::Núcleo desconhecido]],[[Classificação]]/[[Classificação::Interiores ]]/[[SubClassificação:: Condicionadores de Temperatura]],Imagem:M0029.jpg,[[Imagem:M0029.jpg|thumb|center|250px]],[[Categoria:Acervo por nº de tombo]][[Categoria:Autor/Autor desconhecido]][[Categoria:Origem/França]][[Categoria:Data/Data desconhecida]][[Categoria:Núcleo/Núcleo desconhecido]][[Categoria:Classificação/Interiores/Condicionadores de Temperatura]]
M-0030,[[Título::Suporte para lenha - chenet]],[[Autoria de::Autor desconhecido]],[[Datação::Século XX]],[[Origem::França]],[[Material::Bronze.]],[[Descrição::Par M-0029. Estilo Luis XVI.]],[[Dimensões::Dimensões desconhecidas]],[[Núcleo::Núcleo desconhecido]],[[Classificação]]/[[Classificação::Interiores ]]/[[SubClassificação:: Condicionadores de Temperatura]],Imagem:M0030.jpg,[[Imagem:M0030.jpg|thumb|center|250px]],[[Categoria:Acervo por nº de tombo]][[Categoria:Autor/Autor desconhecido]][[Categoria:Origem/França]][[Categoria:Data/Data desconhecida]][[Categoria:Núcleo/Núcleo desconhecido]][[Categoria:Classificação/Interiores/Condicionadores de Temperatura]]
M-0031,[[Título::sofá]],[[Autoria de::Autor desconhecido]],[[Datação::Século XX]],[[Origem::Brasil]],"[[Material::Madeira, tecido, plumas]]",[[Descrição::Três lugares.]],[[Dimensões::Dimensões desconhecidas]],[[Núcleo::Mobiliário Brasileiro]],[[Classificação]]/[[Classificação::Interiores ]]/[[SubClassificação:: Peças de Mobiliário]],Imagem:M0031.jpg,[[Imagem:M0031.jpg|thumb|center|250px]],[[Categoria:Acervo por nº de tombo]][[Categoria:Autor/Autor desconhecido]][[Categoria:Origem/Brasil]][[Categoria:Data/Data desconhecida]][[Categoria:Núcleo/Mobiliário Brasileiro]][[Categoria:Classificação/Interiores/Peças de Mobiliário]]
M-0032,[[Título::Poltrona]],[[Autoria de::Autor desconhecido]],[[Datação::Século XIX]],[[Origem::França]],[[Material::Madeira entalhada e envernizada; tecido de veludo.]],[[Descrição::Par (M-0033).]],"[[Dimensões::67,0 x 75,2 x 87,6 cm]]",[[Núcleo::Mobiliário Europeu]],[[Classificação]]/[[Classificação::Interiores ]]/[[SubClassificação:: Peças de Mobiliário]],Imagem:M0032.jpg,[[Imagem:M0032.jpg|thumb|center|250px]],[[Categoria:Acervo por nº de tombo]][[Categoria:Autor/Autor desconhecido]][[Categoria:Origem/França]][[Categoria:Data/Data desconhecida]][[Categoria:Núcleo/Mobiliário Europeu]][[Categoria:Classificação/Interiores/Peças de Mobiliário]]
M-0033,[[Título::poltrona]],[[Autoria de::Autor desconhecido]],[[Datação::Século XIX]],[[Origem::França]],[[Material::Madeira entalhada e envernizada; tecido de veludo]],[[Descrição::Par (M-0032).]],"[[Dimensões::68,7 x 79,4 x 86,0 cm]]",[[Núcleo::Mobiliário Europeu]],[[Classificação]]/[[Classificação::Interiores ]]/[[SubClassificação:: Peças de Mobiliário]],Imagem:M0033.jpg,[[Imagem:M0033.jpg|thumb|center|250px]],[[Categoria:Acervo por nº de tombo]][[Categoria:Autor/Autor desconhecido]][[Categoria:Origem/França]][[Categoria:Data/Data desconhecida]][[Categoria:Núcleo/Mobiliário Europeu]][[Categoria:Classificação/Interiores/Peças de Mobiliário]]
M-0034,[[Título::Virgem com Menino]],[[Autoria de::Autor desconhecido]],[[Datação::Século XVIII]]/[[SubDatação::1a. metade]],[[Origem::França ou Holanda]],[[Material::Terracota]],[[Descrição::Estudo (bozzetto) para um monumento.]],"[[Dimensões::27,0 x 12,2 x 9,4 cm]]",[[Núcleo::Núcleo desconhecido]],[[Classificação]]/[[Classificação::Artes Visuais ]]/[[SubClassificação:: Escultura Religiosa]],Imagem:M0034.jpg,[[Imagem:M0034.jpg|thumb|center|250px]],[[Categoria:Acervo por nº de tombo]][[Categoria:Autor/Autor desconhecido]][[Categoria:Origem/França ou Holanda]][[Categoria:Data/Século XVIII/1a. metade]][[Categoria:Núcleo/Núcleo desconhecido]][[Categoria:Classificação/Artes Visuais/Escultura Religiosa]]
M-0035,[[Título::São jerônimo]],[[Autoria de::Autor desconhecido]],[[Datação::Século XVIII]],[[Origem::Itália]],[[Material::Terracota policromada e dourada.]],[[Descrição::Sem descrição]],"[[Dimensões::27,7 x 15,5 x 9,0 cm]]",[[Núcleo::Núcleo desconhecido]],[[Classificação]]/[[Classificação::Artes Visuais ]]/[[SubClassificação:: Escultura Religiosa]],Imagem:M0035.jpg,[[Imagem:M0035.jpg|thumb|center|250px]],[[Categoria:Acervo por nº de tombo]][[Categoria:Autor/Autor desconhecido]][[Categoria:Origem/Itália]][[Categoria:Data/Data desconhecida]][[Categoria:Núcleo/Núcleo desconhecido]][[Categoria:Classificação/Artes Visuais/Escultura Religiosa]]
M-0036,[[Título::Anjo em adoração]],[[Autoria de::Autor desconhecido]],[[Datação::Século XVIII(?)]],[[Origem::Brasil]],[[Material::Madeira policromada]],[[Descrição::Par (M-0037). Peça incompleta: faltam as asas da figura.]],"[[Dimensões::22,8 x 11,0 x 15,0 cm]]",[[Núcleo::Arte Brasileira - Século XVIII e XIX]],[[Classificação]]/[[Classificação::Artes Visuais ]]/[[SubClassificação:: Escultura Religiosa]],Imagem:M0036.jpg,[[Imagem:M0036.jpg|thumb|center|250px]],[[Categoria:Acervo por nº de tombo]][[Categoria:Autor/Autor desconhecido]][[Categoria:Origem/Brasil]][[Categoria:Data/Data desconhecida]][[Categoria:Núcleo/Arte Brasileira - Século XVIII e XIX]][[Categoria:Classificação/Artes Visuais/Escultura Religiosa]]
